City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chernyshevskiy,63.0128,112.4714,-15.37,98,29,1.29,RU,1682351365
83,faranah,10.0404,-10.7434,39.73,17,10,1.46,GN,1682351366
84,fada,9.5667,8.3,30.48,36,100,1.7,NG,1682351366
85,antsiranana,-12.2787,49.2917,27.42,83,75,0.0,MG,1682351366
86,afaahiti,-17.75,-149.2833,23.93,84,84,4.73,PF,1682351366
87,atafu village,-8.5421,-172.5159,28.36,76,10,3.6,TK,1682351366
88,naze,28.3667,129.4833,19.51,82,100,8.19,JP,1682351367
89,ashmyany,54.425,25.9378,20.0,55,71,4.79,BY,1682351367
90,pelabuhanratu,-6.9875,106.5514,26.29,87,92,2.15,ID,1682351367
91,flying fish cove,-10.4217,105.6791,27.25,79,45,6.82,CX,1682351367
92,andergrove,-21.0833,149.1833,23.14,70,90,10.64,AU,1682351368
93,springs,-26.25,28.4,23.79,40,97,3.56,ZA,1682351368
94,vilyuysk,63.7553,121.6247,-4.19,94,100,3.7,RU,1682351368
95,calca,-13.3333,-71.95,14.64,66,81,0.35,PE,1682351369
96,mazamari,-11.3258,-74.5308,26.58,77,66,0.94,PE,1682351369
97,zagora,30.3484,-5.8365,33.29,11,1,4.42,MA,1682351370
98,santa maria,-29.6842,-53.8069,24.61,61,0,3.09,BR,1682351370
99,coquimbo,-29.9533,-71.3436,16.85,77,75,6.69,CL,1682351295
100,nuuk,64.1835,-51.7216,2.34,93,20,6.17,GL,1682351370
101,okha,53.5739,142.9478,-1.97,83,27,5.95,RU,1682351370
102,caleta de carquin,-11.0925,-77.6267,25.92,70,83,5.78,PE,1682351371
103,nagqu,31.5,92.0,-0.75,23,52,5.34,CN,1682351371
104,kutulik,53.3508,102.7839,3.16,52,64,5.19,RU,1682351371
105,siwa oasis,29.2041,25.5195,30.82,16,37,2.53,EG,1682351371
106,gulf shores,30.246,-87.7008,19.47,58,20,6.17,US,1682351160
107,whitehorse,60.7161,-135.0538,1.43,93,100,0.0,CA,1682351113
108,puerto ayora,-0.7393,-90.3518,27.98,87,58,1.79,EC,1682351372
109,puerto natales,-51.7236,-72.4875,6.25,100,75,1.54,CL,1682351227
110,isafjordur,66.0755,-23.124,4.02,48,0,3.6,IS,1682351372
111,chonchi,-42.6128,-73.8092,9.56,60,6,1.81,CL,1682351373
112,hithadhoo,-0.6,73.0833,29.34,71,86,2.21,MV,1682351373
113,saipan,15.1355,145.701,27.39,100,75,6.17,MP,1682351373
114,tabou,4.423,-7.3528,29.31,71,100,4.02,CI,1682351373
115,sungai penuh,-2.0833,101.3833,19.35,98,100,1.52,ID,1682351373
116,ciudad lazaro cardenas,17.9583,-102.2,27.53,63,100,1.41,MX,1682351374
117,plouzane,48.3833,-4.6167,13.18,66,75,7.72,FR,1682351374
118,vila franca do campo,37.7167,-25.4333,18.23,86,89,4.3,PT,1682351140
119,fortuna,40.5982,-124.1573,11.63,84,93,0.45,US,1682351375
120,bati,11.1833,40.0167,23.15,57,36,2.58,ET,1682351375
121,kotma,23.2,81.9667,25.1,43,67,2.33,IN,1682351375
122,kodiak,57.79,-152.4072,-0.27,55,0,6.17,US,1682351376
123,axim,4.8699,-2.2405,29.18,71,100,2.9,GH,1682351376
124,chernomorskoye,45.5039,32.6997,12.05,74,59,3.25,UA,1682351377
125,manta,-0.95,-80.7333,27.88,78,40,2.06,EC,1682351377
126,rio grande,-32.035,-52.0986,26.06,68,3,5.03,BR,1682351377
127,bethel,41.3712,-73.414,13.68,57,75,1.54,US,1682351377
128,stanley,54.868,-1.6985,7.38,57,75,6.17,GB,1682351187
129,mount isa,-20.7333,139.5,22.87,43,0,3.6,AU,1682351378
130,mirnyy,62.5353,113.9611,-14.42,98,21,0.53,RU,1682351378
131,constantia,44.1833,28.65,14.38,75,8,6.39,RO,1682351378
132,wailua homesteads,22.0669,-159.378,20.24,94,0,1.54,US,1682351378
